month,indicator,value
2021-06,retail_sales,12.1
2021-06,sf_enterprise,14544.18
2021-06,sf_government,7508.0
2021-06,sf_household,8641.68
2021-06,us_cpi,5.4
2021-07,cpi,1.0
2021-07,industrial_production,6.4
2021-07,lpr_1y,3.85
2021-07,lpr_5y,4.65
2021-07,m0,6.1
2021-07,m1,4.9
2021-07,m2,8.3
2021-07,pmi,50.4
2021-07,ppi,9.0
2021-07,retail_sales,8.5
2021-07,sf_enterprise,4333.79
2021-07,sf_government,1820.0
2021-07,sf_household,4058.79
2021-07,us_cpi,5.4
2021-08,cpi,0.8
2021-08,industrial_production,5.3
2021-08,lpr_1y,3.85
2021-08,lpr_5y,4.65
2021-08,m0,6.3
2021-08,m1,4.2
2021-08,m2,8.2
2021-08,pmi,50.1
2021-08,ppi,9.5
2021-08,retail_sales,2.5
2021-08,sf_enterprise,6962.9
2021-08,sf_government,9738.0
2021-08,sf_household,5754.76
2021-08,us_cpi,5.3
2021-09,cpi,0.7
2021-09,industrial_production,3.1
2021-09,lpr_1y,3.85
2021-09,lpr_5y,4.65
2021-09,m0,5.5
2021-09,m1,3.7
2021-09,m2,8.3
2021-09,pmi,49.6
2021-09,ppi,10.7
2021-09,retail_sales,4.4
2021-09,sf_enterprise,9834.63
2021-09,sf_government,8066.0
2021-09,sf_household,7860.93
2021-09,us_cpi,5.4
2021-10,cpi,1.5
2021-10,industrial_production,3.5
2021-10,lpr_1y,3.85
2021-10,lpr_5y,4.65
2021-10,m0,6.2
2021-10,m1,2.8
2021-10,m2,8.7
2021-10,pmi,49.2
2021-10,ppi,13.5
2021-10,retail_sales,4.9
2021-10,sf_enterprise,3100.76
2021-10,sf_government,6167.0
2021-10,sf_household,4647.36
2021-10,us_cpi,6.2
2021-11,cpi,2.3
2021-11,industrial_production,3.8
2021-11,lpr_1y,3.85
2021-11,lpr_5y,4.65
2021-11,m0,7.2
2021-11,m1,3.0
2021-11,m2,8.5
2021-11,pmi,50.1
2021-11,ppi,12.9
2021-11,retail_sales,3.9
2021-11,sf_enterprise,5678.61
2021-11,sf_government,8158.0
2021-11,sf_household,7337.45
2021-11,us_cpi,6.8
2021-12,cpi,1.5
2021-12,industrial_production,4.3
2021-12,lpr_1y,3.8
2021-12,lpr_5y,4.65
2021-12,m0,7.7
2021-12,m1,3.5
2021-12,m2,9.0
2021-12,pmi,50.3
2021-12,ppi,10.3
2021-12,retail_sales,1.7
2021-12,sf_enterprise,6595.11
2021-12,sf_government,11674.0
2021-12,sf_household,3760.19
2021-12,us_cpi,7.0
2022-01,cpi,0.9
2022-01,lpr_1y,3.7
2022-01,lpr_5y,4.6
2022-01,m0,18.5
2022-01,m1,-1.9
2022-01,m2,9.8
2022-01,pmi,50.1
2022-01,ppi,9.1
2022-01,sf_enterprise,33351.61
2022-01,sf_government,6026.0
2022-01,sf_household,8384.9
2022-01,us_cpi,7.5
2022-02,cpi,0.9
2022-02,industrial_production,7.5
2022-02,lpr_1y,3.7
2022-02,lpr_5y,4.6
2022-02,m0,5.8
2022-02,m1,4.7
2022-02,m2,9.2
2022-02,ppi,8.8
2022-02,sf_enterprise,12437.04
2022-02,sf_government,2722.0
2022-02,sf_household,-3369.14
2022-02,us_cpi,7.9
2022-03,cpi,1.5
2022-03,industrial_production,5.0
2022-03,lpr_1y,3.7
2022-03,lpr_5y,4.6
2022-03,m0,10.0
2022-03,m1,4.7
2022-03,m2,9.7
2022-03,pmi,49.5
2022-03,ppi,8.3
2022-03,retail_sales,-3.5
2022-03,sf_enterprise,24796.82
2022-03,sf_government,7074.0
2022-03,sf_household,7538.44
2022-03,us_cpi,8.5
2022-04,cpi,2.1
2022-04,industrial_production,-2.9
2022-04,lpr_1y,3.7
2022-04,lpr_5y,4.6
2022-04,m0,11.5
2022-04,m1,5.1
2022-04,m2,10.5
2022-04,pmi,47.4
2022-04,ppi,8.0
2022-04,retail_sales,-11.1
2022-04,sf_enterprise,5783.69
2022-04,sf_government,3912.0
2022-04,sf_household,-2169.59
2022-04,us_cpi,8.3
2022-05,cpi,2.1
2022-05,industrial_production,0.7
2022-05,lpr_1y,3.7
2022-05,lpr_5y,4.45
2022-05,m0,13.5
2022-05,m1,4.6
2022-05,m2,11.1
2022-05,pmi,49.6
2022-05,ppi,6.4
2022-05,retail_sales,-6.7
2022-05,sf_enterprise,15348.1
2022-05,sf_government,10582.0
2022-05,sf_household,2887.92
2022-05,us_cpi,8.6
2022-06,cpi,2.5
2022-06,industrial_production,3.9
2022-06,lpr_1y,3.7
2022-06,lpr_5y,4.45
2022-06,m0,13.9
2022-06,m1,5.8
2022-06,m2,11.4
2022-06,pmi,50.2
2022-06,ppi,6.1
2022-06,retail_sales,3.1
2022-06,sf_enterprise,22028.06
2022-06,sf_government,16216.0
2022-06,sf_household,8522.74
2022-06,us_cpi,9.1
2022-07,cpi,2.7
2022-07,industrial_production,3.8
2022-07,lpr_1y,3.7
2022-07,lpr_5y,4.45
2022-07,m0,13.9
2022-07,m1,6.7
2022-07,m2,12.0
2022-07,pmi,49.0
2022-07,ppi,4.2
2022-07,retail_sales,2.7
2022-07,sf_enterprise,2877.2
2022-07,sf_government,3998.0
2022-07,sf_household,1216.95
2022-07,us_cpi,8.5
2022-08,cpi,2.5
2022-08,industrial_production,4.2
2022-08,lpr_1y,3.65
2022-08,lpr_5y,4.3
2022-08,m0,14.3
2022-08,m1,6.1
2022-08,m2,12.2
2022-08,pmi,49.4
2022-08,ppi,2.3
2022-08,retail_sales,5.4
2022-08,sf_enterprise,8750.19
2022-08,sf_government,3045.0
2022-08,sf_household,4579.6
2022-08,us_cpi,8.3
2022-09,cpi,2.8
2022-09,industrial_production,6.3
2022-09,lpr_1y,3.65
2022-09,lpr_5y,4.3
2022-09,m0,13.6
2022-09,m1,6.4
2022-09,m2,12.1
2022-09,pmi,50.1
2022-09,ppi,0.9
2022-09,retail_sales,2.5
2022-09,sf_enterprise,19175.3
2022-09,sf_government,5533.0
2022-09,sf_household,6507.95
2022-09,us_cpi,8.2
2022-10,cpi,2.1
2022-10,industrial_production,5.0
2022-10,lpr_1y,3.65
2022-10,lpr_5y,4.3
2022-10,m0,14.4
2022-10,m1,5.8
2022-10,m2,11.8
2022-10,pmi,49.2
2022-10,ppi,-1.3
2022-10,retail_sales,-0.5
2022-10,sf_enterprise,4625.93
2022-10,sf_government,2791.0
2022-10,sf_household,-180.26
2022-10,us_cpi,7.7
2022-11,cpi,1.6
2022-11,industrial_production,2.2
2022-11,lpr_1y,3.65
2022-11,lpr_5y,4.3
2022-11,m0,14.1
2022-11,m1,4.6
2022-11,m2,12.4
2022-11,pmi,48.0
2022-11,ppi,-1.3
2022-11,retail_sales,-5.9
2022-11,sf_enterprise,8836.87
2022-11,sf_government,6520.0
2022-11,sf_household,2627.32
2022-11,us_cpi,7.1
2022-12,cpi,1.8
2022-12,industrial_production,1.3
2022-12,lpr_1y,3.65
2022-12,lpr_5y,4.3
2022-12,m0,15.3
2022-12,m1,5.8
2022-12,m2,11.8
2022-12,pmi,47.0
2022-12,ppi,-0.7
2022-12,retail_sales,-1.8
2022-12,sf_enterprise,12659.91
2022-12,sf_government,2809.0
2022-12,sf_household,1733.48
2022-12,us_cpi,6.5
2023-01,cpi,2.1
2023-01,lpr_1y,3.65
2023-01,lpr_5y,4.3
2023-01,m0,7.9
2023-01,m1,6.7
2023-01,m2,12.6
2023-01,pmi,50.1
2023-01,ppi,-0.8
2023-01,sf_enterprise,46717.5
2023-01,sf_government,4140.0
2023-01,sf_household,10908.75
2023-01,us_cpi,6.4
2023-02,cpi,1.0
2023-02,industrial_production,2.4
2023-02,lpr_1y,3.65
2023-02,lpr_5y,4.3
2023-02,m0,10.6
2023-02,m1,5.8
2023-02,m2,12.9
2023-02,ppi,-1.4
2023-02,sf_enterprise,16096.19
2023-02,sf_government,8138.0
2023-02,sf_household,2081.3
2023-02,us_cpi,6.0
2023-03,cpi,0.7
2023-03,industrial_production,3.9
2023-03,lpr_1y,3.65
2023-03,lpr_5y,4.3
2023-03,m0,11.0
2023-03,m1,5.1
2023-03,m2,12.7
2023-03,pmi,51.9
2023-03,ppi,-2.5
2023-03,retail_sales,10.6
2023-03,sf_enterprise,27055.35
2023-03,sf_government,6015.0
2023-03,sf_household,12441.66
2023-03,us_cpi,5.0
2023-04,cpi,0.1
2023-04,industrial_production,5.6
2023-04,lpr_1y,3.65
2023-04,lpr_5y,4.3
2023-04,m0,10.7
2023-04,m1,5.3
2023-04,m2,12.4
2023-04,pmi,49.2
2023-04,ppi,-3.6
2023-04,retail_sales,18.4
2023-04,sf_enterprise,6838.78
2023-04,sf_government,4548.0
2023-04,sf_household,-2411.12
2023-04,us_cpi,4.9
2023-05,cpi,0.2
2023-05,industrial_production,3.5
2023-05,lpr_1y,3.65
2023-05,lpr_5y,4.3
2023-05,m0,9.6
2023-05,m1,4.7
2023-05,m2,11.6
2023-05,pmi,48.8
2023-05,ppi,-4.6
2023-05,retail_sales,12.7
2023-05,sf_enterprise,8558.19
2023-05,sf_government,5571.0
2023-05,sf_household,3671.53
2023-05,us_cpi,4.0
2023-06,cpi,0.0
2023-06,industrial_production,4.4
2023-06,lpr_1y,3.55
2023-06,lpr_5y,4.2
2023-06,m0,9.6
2023-06,m1,3.1
2023-06,m2,11.3
2023-06,pmi,49.0
2023-06,ppi,-5.4
2023-06,retail_sales,3.1
2023-06,sf_enterprise,22833.89
2023-06,sf_government,5371.0
2023-06,sf_household,9595.39
2023-06,us_cpi,3.0
2023-07,cpi,-0.3
2023-07,industrial_production,3.7
2023-07,lpr_1y,3.55
2023-07,lpr_5y,4.2
2023-07,m0,9.9
2023-07,m1,2.3
2023-07,m2,10.7
2023-07,pmi,49.3
2023-07,ppi,-4.4
2023-07,retail_sales,2.5
2023-07,sf_enterprise,2378.06
2023-07,sf_government,4109.0
2023-07,sf_household,-2006.61
2023-07,us_cpi,3.2
2023-08,cpi,0.1
2023-08,industrial_production,4.5
2023-08,lpr_1y,3.45
2023-08,lpr_5y,4.2
2023-08,m0,9.5
2023-08,m1,2.2
2023-08,m2,10.6
2023-08,pmi,49.7
2023-08,ppi,-3.0
2023-08,retail_sales,4.6
2023-08,sf_enterprise,9488.42
2023-08,sf_government,11759.0
2023-08,sf_household,3921.99
2023-08,us_cpi,3.7
2023-09,cpi,0.0
2023-09,industrial_production,4.5
2023-09,lpr_1y,3.45
2023-09,lpr_5y,4.2
2023-09,m0,10.7
2023-09,m1,2.1
2023-09,m2,10.3
2023-09,pmi,50.2
2023-09,ppi,-2.5
2023-09,retail_sales,5.5
2023-09,sf_enterprise,16736.82
2023-09,sf_government,9920.0
2023-09,sf_household,8645.68
2023-09,us_cpi,3.7
2023-10,cpi,-0.2
2023-10,industrial_production,4.6
2023-10,lpr_1y,3.45
2023-10,lpr_5y,4.2
2023-10,m0,10.2
2023-10,m1,1.9
2023-10,m2,10.3
2023-10,pmi,49.5
2023-10,ppi,-2.6
2023-10,retail_sales,7.6
2023-10,sf_enterprise,5163.09
2023-10,sf_government,15638.0
2023-10,sf_household,-345.63
2023-10,us_cpi,3.2
2023-11,cpi,-0.5
2023-11,industrial_production,6.6
2023-11,lpr_1y,3.45
2023-11,lpr_5y,4.2
2023-11,m0,10.4
2023-11,m1,1.3
2023-11,m2,10.0
2023-11,pmi,49.4
2023-11,ppi,-3.0
2023-11,retail_sales,10.1
2023-11,sf_enterprise,8221.32
2023-11,sf_government,11512.0
2023-11,sf_household,2925.01
2023-11,us_cpi,3.1
2023-12,cpi,-0.3
2023-12,industrial_production,6.8
2023-12,lpr_1y,3.45
2023-12,lpr_5y,4.2
2023-12,m0,8.3
2023-12,m1,1.3
2023-12,m2,9.7
2023-12,pmi,49.0
2023-12,ppi,-2.7
2023-12,retail_sales,7.4
2023-12,sf_enterprise,8935.92
2023-12,sf_government,9324.0
2023-12,sf_household,2169.87
2023-12,us_cpi,3.4
2024-01,cpi,-0.8
2024-01,lpr_1y,3.45
2024-01,lpr_5y,4.2
2024-01,m0,5.9
2024-01,m1,5.9
2024-01,m2,8.7
2024-01,pmi,49.2
2024-01,ppi,-2.5
2024-01,sf_enterprise,38419.46
2024-01,sf_government,2947.0
2024-01,sf_household,9931.94
2024-01,us_cpi,3.1
2024-02,cpi,0.7
2024-02,industrial_production,7.0
2024-02,lpr_1y,3.45
2024-02,lpr_5y,3.95
2024-02,m0,12.5
2024-02,m1,1.2
2024-02,m2,8.7
2024-02,ppi,-2.7
2024-02,sf_enterprise,15655.85
2024-02,sf_government,6011.0
2024-02,sf_household,-5906.34
2024-02,us_cpi,3.2
2024-03,cpi,0.1
2024-03,industrial_production,4.5
2024-03,lpr_1y,3.45
2024-03,lpr_5y,3.95
2024-03,m0,11.0
2024-03,m1,1.1
2024-03,m2,8.3
2024-03,pmi,50.8
2024-03,ppi,-2.8
2024-03,retail_sales,3.1
2024-03,sf_enterprise,23483.88
2024-03,sf_government,4626.0
2024-03,sf_household,9423.88
2024-03,us_cpi,3.5
2024-04,cpi,0.3
2024-04,industrial_production,6.7
2024-04,lpr_1y,3.45
2024-04,lpr_5y,3.95
2024-04,m0,10.8
2024-04,m1,-1.4
2024-04,m2,7.2
2024-04,pmi,50.4
2024-04,ppi,-2.5
2024-04,retail_sales,2.3
2024-04,sf_enterprise,8531.8
2024-04,sf_government,-937.0
2024-04,sf_household,-5184.37
2024-04,us_cpi,3.4
2024-05,cpi,0.3
2024-05,industrial_production,5.6
2024-05,lpr_1y,3.45
2024-05,lpr_5y,3.95
2024-05,m0,11.7
2024-05,m1,-4.2
2024-05,m2,7.0
2024-05,pmi,49.5
2024-05,ppi,-1.4
2024-05,retail_sales,3.7
2024-05,sf_enterprise,7449.16
2024-05,sf_government,12266.0
2024-05,sf_household,756.83
2024-05,us_cpi,3.3
2024-06,cpi,0.2
2024-06,industrial_production,5.3
2024-06,lpr_1y,3.45
2024-06,lpr_5y,3.95
2024-06,m0,11.7
2024-06,m1,-5.0
2024-06,m2,6.2
2024-06,pmi,49.5
2024-06,ppi,-0.8
2024-06,retail_sales,2.0
2024-06,sf_enterprise,16241.56
2024-06,sf_government,8476.0
2024-06,sf_household,5698.65
2024-06,us_cpi,3.0
2024-07,cpi,0.5
2024-07,industrial_production,5.1
2024-07,lpr_1y,3.35
2024-07,lpr_5y,3.85
2024-07,m0,12.0
2024-07,m1,-6.6
2024-07,m2,6.3
2024-07,pmi,49.4
2024-07,ppi,-0.8
2024-07,retail_sales,2.7
2024-07,sf_enterprise,1309.6
2024-07,sf_government,6881.0
2024-07,sf_household,-2119.06
2024-07,us_cpi,2.9
2024-08,cpi,0.6
2024-08,industrial_production,4.5
2024-08,lpr_1y,3.35
2024-08,lpr_5y,3.85
2024-08,m0,12.2
2024-08,m1,-7.3
2024-08,m2,6.3
2024-08,pmi,49.1
2024-08,ppi,-1.8
2024-08,retail_sales,2.1
2024-08,sf_enterprise,8479.35
2024-08,sf_government,16177.0
2024-08,sf_household,1962.97
2024-08,us_cpi,2.5
2024-09,cpi,0.4
2024-09,industrial_production,5.4
2024-09,lpr_1y,3.35
2024-09,lpr_5y,3.85
2024-09,m0,11.5
2024-09,m1,-7.4
2024-09,m2,6.8
2024-09,pmi,49.8
2024-09,ppi,-2.8
2024-09,retail_sales,3.2
2024-09,sf_enterprise,14804.21
2024-09,sf_government,15357.0
2024-09,sf_household,4941.38
2024-09,us_cpi,2.4
2024-10,cpi,0.3
2024-10,industrial_production,5.3
2024-10,lpr_1y,3.1
2024-10,lpr_5y,3.6
2024-10,m0,12.8
2024-10,m1,-6.1
2024-10,m2,7.5
2024-10,pmi,50.1
2024-10,ppi,-2.9
2024-10,retail_sales,4.8
2024-10,sf_enterprise,1360.72
2024-10,sf_government,10495.0
2024-10,sf_household,1598.14
2024-10,us_cpi,2.6
2024-11,cpi,0.2
2024-11,industrial_production,5.4
2024-11,lpr_1y,3.1
2024-11,lpr_5y,3.6
2024-11,m0,12.7
2024-11,m1,-3.7
2024-11,m2,7.1
2024-11,pmi,50.3
2024-11,ppi,-2.5
2024-11,retail_sales,3.0
2024-11,sf_enterprise,2521.01
2024-11,sf_government,13089.0
2024-11,sf_household,2695.26
2024-11,us_cpi,2.7
2024-12,cpi,0.1
2024-12,industrial_production,6.2
2024-12,lpr_1y,3.1
2024-12,lpr_5y,3.6
2024-12,m0,13.0
2024-12,m1,-1.4
2024-12,m2,7.3
2024-12,pmi,50.1
2024-12,ppi,-2.3
2024-12,retail_sales,3.7
2024-12,sf_enterprise,4829.52
2024-12,sf_government,17566.0
2024-12,sf_household,3577.2
2024-12,us_cpi,2.9
2025-01,cpi,0.5
2025-01,lpr_1y,3.1
2025-01,lpr_5y,3.6
2025-01,m0,17.2
2025-01,m1,0.4
2025-01,m2,7.0
2025-01,pmi,49.1
2025-01,ppi,-2.3
2025-01,sf_enterprise,47391.78
2025-01,sf_government,6933.0
2025-01,sf_household,4438.31
2025-01,us_cpi,3.0
2025-02,cpi,-0.7
2025-02,industrial_production,5.9
2025-02,lpr_1y,3.1
2025-02,lpr_5y,3.6
2025-02,m0,9.7
2025-02,m1,0.1
2025-02,m2,7.0
2025-02,ppi,-2.2
2025-02,sf_enterprise,10402.93
2025-02,sf_government,16939.0
2025-02,sf_household,-3891.6
2025-02,us_cpi,2.8
2025-03,cpi,-0.1
2025-03,industrial_production,7.7
2025-03,lpr_1y,3.1
2025-03,lpr_5y,3.6
2025-03,m0,11.5
2025-03,m1,1.6
2025-03,m2,7.0
2025-03,pmi,50.5
2025-03,ppi,-2.5
2025-03,retail_sales,5.9
2025-03,sf_enterprise,28378.8
2025-03,sf_government,14866.0
2025-03,sf_household,9888.43
2025-03,us_cpi,2.4
2025-04,cpi,-0.1
2025-04,industrial_production,6.1
2025-04,lpr_1y,3.1
2025-04,lpr_5y,3.6
2025-04,m0,12.0
2025-04,m1,1.5
2025-04,m2,8.0
2025-04,pmi,49.0
2025-04,ppi,-2.7
2025-04,retail_sales,5.1
2025-04,sf_enterprise,6116.07
2025-04,sf_government,9729.0
2025-04,sf_household,-5250.75
2025-04,us_cpi,2.3
2025-05,cpi,-0.1
2025-05,industrial_production,5.8
2025-05,lpr_1y,3.0
2025-05,lpr_5y,3.5
2025-05,m0,12.1
2025-05,m1,2.3
2025-05,m2,7.9
2025-05,pmi,49.5
2025-05,ppi,-3.3
2025-05,retail_sales,6.4
2025-05,sf_enterprise,5357.43
2025-05,sf_government,14585.0
2025-05,sf_household,539.43
2025-05,us_cpi,2.4
2025-06,cpi,0.1
2025-06,industrial_production,6.8
2025-06,lpr_1y,3.0
2025-06,lpr_5y,3.5
2025-06,m0,12.0
2025-06,m1,4.6
2025-06,m2,8.3
2025-06,pmi,49.7
2025-06,ppi,-3.6
2025-06,retail_sales,4.8
2025-06,sf_enterprise,17642.03
2025-06,sf_government,13508.0
2025-06,sf_household,5976.76
2025-06,us_cpi,2.7
2025-07,cpi,0.0
2025-07,industrial_production,5.7
2025-07,lpr_1y,3.0
2025-07,lpr_5y,3.5
2025-07,m0,11.8
2025-07,m1,5.6
2025-07,m2,8.8
2025-07,pmi,49.3
2025-07,ppi,-3.6
2025-07,retail_sales,3.7
2025-07,sf_enterprise,582.13
2025-07,sf_government,12482.0
2025-07,sf_household,-4893.04
2025-07,us_cpi,2.7
2025-08,cpi,-0.4
2025-08,industrial_production,5.2
2025-08,lpr_1y,3.0
2025-08,lpr_5y,3.5
2025-08,m0,11.7
2025-08,m1,6.0
2025-08,m2,8.8
2025-08,pmi,49.4
2025-08,ppi,-2.9
2025-08,retail_sales,3.4
2025-08,sf_enterprise,5949.11
2025-08,sf_government,13672.0
2025-08,sf_household,302.76
2025-08,us_cpi,2.9
2025-09,cpi,-0.3
2025-09,industrial_production,6.5
2025-09,lpr_1y,3.0
2025-09,lpr_5y,3.5
2025-09,m0,11.5
2025-09,m1,7.2
2025-09,m2,8.4
2025-09,pmi,49.8
2025-09,ppi,-2.3
2025-09,retail_sales,3.0
2025-09,sf_enterprise,12170.68
2025-09,sf_government,11893.0
2025-09,sf_household,3919.63
2025-09,us_cpi,3.0
2025-10,cpi,0.2
2025-10,industrial_production,4.9
2025-10,lpr_1y,3.0
2025-10,lpr_5y,3.5
2025-10,m0,10.6
2025-10,m1,6.2
2025-10,m2,8.2
2025-10,pmi,49.0
2025-10,ppi,-2.1
2025-10,retail_sales,2.9
2025-10,sf_enterprise,3475.43
2025-10,sf_government,4852.0
2025-10,sf_household,-3633.75
2025-11,cpi,0.7
2025-11,industrial_production,4.8
2025-11,lpr_1y,3.0
2025-11,lpr_5y,3.5
2025-11,m0,10.6
2025-11,m1,4.9
2025-11,m2,8.0
2025-11,pmi,49.2
2025-11,ppi,-2.2
2025-11,retail_sales,1.3
2025-11,sf_enterprise,6150.41
2025-11,sf_government,12077.0
2025-11,sf_household,-2062.56
2025-11,us_cpi,2.7
2025-12,cpi,0.8
2025-12,industrial_production,5.2
2025-12,lpr_1y,3.0
2025-12,lpr_5y,3.5
2025-12,m0,10.2
2025-12,m1,3.8
2025-12,m2,8.5
2025-12,pmi,50.1
2025-12,ppi,-1.9
2025-12,retail_sales,0.9
2025-12,sf_enterprise,10719.39
2025-12,sf_government,6833.0
2025-12,sf_household,-916.77
2025-12,us_cpi,2.7
2026-01,cpi,0.2
2026-01,lpr_1y,3.0
2026-01,lpr_5y,3.5
2026-01,m0,2.7
2026-01,m1,4.9
2026-01,m2,9.0
2026-01,pmi,49.3
2026-01,ppi,-1.4
2026-01,sf_enterprise,44450.48
2026-01,sf_government,9764.0
2026-01,sf_household,4565.06
2026-01,us_cpi,2.4
2026-02,cpi,1.3
2026-02,industrial_production,6.3
2026-02,lpr_1y,3.0
2026-02,lpr_5y,3.5
2026-02,m0,14.1
2026-02,m1,5.9
2026-02,m2,9.0
2026-02,pmi,49.0
2026-02,pmi_caixin,52.1
2026-02,ppi,-0.9
2026-02,sf_enterprise,14956.07
2026-02,sf_government,14014.0
2026-02,sf_household,-6506.93
2026-02,us_cpi,2.4
2026-03,capacity_utilization,73.6
2026-03,cpi,1.0
2026-03,industrial_production,5.7
2026-03,lpr_1y,3.0
2026-03,lpr_5y,3.5
2026-03,m0,12.5
2026-03,m1,5.1
2026-03,m2,8.5
2026-03,pmi,50.4
2026-03,pmi_caixin,50.8
2026-03,ppi,0.5
2026-03,retail_sales,1.7
2026-03,sf_enterprise,26607.67
2026-03,sf_government,11658.0
2026-03,sf_household,4908.94
2026-03,us_cpi,3.3
2026-04,cpi,1.2
2026-04,industrial_production,4.1
2026-04,lpr_1y,3.0
2026-04,lpr_5y,3.5
2026-04,m0,12.2
2026-04,m1,5.0
2026-04,m2,8.6
2026-04,pmi,50.3
2026-04,pmi_caixin,52.2
2026-04,ppi,2.8
2026-04,retail_sales,0.2
2026-04,sf_enterprise,3880.55
2026-04,sf_government,9041.0
2026-04,sf_household,-7869.71
2026-04,us_cpi,3.8
2026-05,cpi,1.2
2026-05,industrial_production,4.1
2026-05,lpr_1y,3.0
2026-05,lpr_5y,3.5
2026-05,m0,11.9
2026-05,m1,5.5
2026-05,m2,8.6
2026-05,pmi,50.0
2026-05,pmi_caixin,51.8
2026-05,ppi,3.9
2026-05,retail_sales,-0.6
2026-05,sf_enterprise,6374.31
2026-05,sf_government,12236.0
2026-05,sf_household,-1411.8
2026-05,us_cpi,4.2
