month,indicator,value
2016-06,cpi,1.9
2016-06,industrial_production,6.2
2016-06,lpr_1y,4.3
2016-06,m0,7.19
2016-06,m1,24.59
2016-06,m2,11.78
2016-06,pmi,50.1
2016-06,ppi,-2.6
2016-06,retail_sales,10.6
2016-06,sf_enterprise,6089.8
2016-06,sf_household,7036.0
2016-06,us_cpi,1.0
2016-07,cpi,1.8
2016-07,industrial_production,6.0
2016-07,lpr_1y,4.3
2016-07,m0,7.23
2016-07,m1,25.43
2016-07,m2,10.22
2016-07,pmi,50.0
2016-07,ppi,-1.7
2016-07,retail_sales,10.2
2016-07,sf_enterprise,-25.59
2016-07,sf_household,4575.27
2016-07,us_cpi,0.8
2016-08,cpi,1.3
2016-08,industrial_production,6.3
2016-08,lpr_1y,4.3
2016-08,m0,7.44
2016-08,m1,25.29
2016-08,m2,11.35
2016-08,pmi,49.9
2016-08,ppi,-0.8
2016-08,retail_sales,10.6
2016-08,sf_enterprise,1209.25
2016-08,sf_household,6755.39
2016-08,us_cpi,1.1
2016-09,cpi,1.9
2016-09,industrial_production,6.1
2016-09,lpr_1y,4.3
2016-09,m0,6.6
2016-09,m1,24.7
2016-09,m2,11.5
2016-09,pmi,50.4
2016-09,ppi,0.1
2016-09,retail_sales,10.7
2016-09,sf_enterprise,6182.46
2016-09,sf_household,6427.95
2016-09,us_cpi,1.5
2016-10,cpi,2.1
2016-10,industrial_production,6.1
2016-10,lpr_1y,4.3
2016-10,m0,7.2
2016-10,m1,23.85
2016-10,m2,11.64
2016-10,pmi,50.4
2016-10,ppi,1.2
2016-10,retail_sales,10.0
2016-10,sf_enterprise,1684.37
2016-10,sf_household,4330.55
2016-10,us_cpi,1.6
2016-11,cpi,2.3
2016-11,industrial_production,6.2
2016-11,lpr_1y,4.3
2016-11,m0,7.58
2016-11,m1,22.65
2016-11,m2,11.39
2016-11,pmi,51.2
2016-11,ppi,3.3
2016-11,retail_sales,10.8
2016-11,sf_enterprise,1655.69
2016-11,sf_household,6795.56
2016-11,us_cpi,1.7
2016-12,cpi,2.1
2016-12,industrial_production,6.0
2016-12,lpr_1y,4.3
2016-12,m0,8.05
2016-12,m1,21.35
2016-12,m2,11.33
2016-12,pmi,51.7
2016-12,ppi,5.5
2016-12,retail_sales,10.9
2016-12,sf_enterprise,4981.68
2016-12,sf_household,4962.62
2016-12,us_cpi,2.1
2017-01,cpi,2.5
2017-01,lpr_1y,4.3
2017-01,m0,19.4
2017-01,m1,14.5
2017-01,m2,10.7
2017-01,pmi,51.4
2017-01,ppi,6.9
2017-01,sf_enterprise,15516.38
2017-01,sf_government,1.8
2017-01,sf_household,7610.28
2017-01,us_cpi,2.5
2017-02,cpi,0.8
2017-02,industrial_production,6.3
2017-02,lpr_1y,4.3
2017-02,m0,3.3
2017-02,m1,21.4
2017-02,m2,10.4
2017-02,pmi,51.3
2017-02,ppi,7.8
2017-02,sf_enterprise,7313.94
2017-02,sf_government,-1.7
2017-02,sf_household,3001.96
2017-02,us_cpi,2.7
2017-03,cpi,0.9
2017-03,industrial_production,7.6
2017-03,lpr_1y,4.3
2017-03,m0,6.1
2017-03,m1,18.8
2017-03,m2,10.1
2017-03,pmi,51.8
2017-03,ppi,7.6
2017-03,retail_sales,10.9
2017-03,sf_enterprise,3644.8
2017-03,sf_government,12.7
2017-03,sf_household,7946.84
2017-03,us_cpi,2.4
2017-04,cpi,1.2
2017-04,industrial_production,6.5
2017-04,lpr_1y,4.3
2017-04,m0,6.19
2017-04,m1,18.54
2017-04,m2,9.8
2017-04,pmi,51.2
2017-04,ppi,6.4
2017-04,retail_sales,10.7
2017-04,sf_enterprise,5086.67
2017-04,sf_government,30.4
2017-04,sf_household,5709.78
2017-04,us_cpi,2.2
2017-05,cpi,1.5
2017-05,industrial_production,6.5
2017-05,lpr_1y,4.3
2017-05,m0,7.3
2017-05,m1,17.0
2017-05,m2,9.1
2017-05,pmi,51.2
2017-05,ppi,5.5
2017-05,retail_sales,10.7
2017-05,sf_enterprise,5661.28
2017-05,sf_government,36.5
2017-05,sf_household,6106.28
2017-05,us_cpi,1.9
2017-06,cpi,1.5
2017-06,industrial_production,7.6
2017-06,lpr_1y,4.3
2017-06,m0,6.6
2017-06,m1,15.0
2017-06,m2,9.1
